movie_name,genre,rating,vote_count,duration
Jurnal Risa by Risa Saraswati,documentary,4.4,330,1h 32m
Power,documentary,6.1,857,1h 29m
Water Mafia,documentary,9.1,13,45m
The Killing Roads,documentary,7.0,299,1h 55m
Nasty,documentary,7.7,1100,1h 43m
Suzzanna: The Queen of Black Magic,documentary,6.7,64,1h 28m
Born to Be Wild: The Story of Steppenwolf,documentary,7.0,55,1h 40m
Emergent City,documentary,7.6,23,1h 35m
Undisputed,documentary,6.7,113,1h 4m
Renee Gracie: Fireproof,documentary,6.3,351,1h 40m
Zurawski v Texas,documentary,8.1,81,1h 38m
Unbreakable: The Jelena Dokic Story,documentary,8.0,137,1h 44m
XRP Unleashed,documentary,9.7,13,2h 20m
About a Hero,documentary,6.2,64,1h 24m
Drop Dead City,documentary,8.2,41,1h 48m
Ferrari: Fury & the Monster,documentary,N/A,N/A,N/A
Sharon Stone: Survival Instinct,documentary,6.7,84,52m
From Roger Moore with Love,documentary,7.3,532,1h 19m
The Flats,documentary,6.4,88,1h 54m
Like Tears in Rain,documentary,8.0,183,1h 21m
Breaking the Silence: The Maria Soledad Case,documentary,6.4,559,1h 35m
Outstanding: A Comedy Revolution,documentary,7.4,808,1h 40m
Blackpink: World Tour - Born Pink,documentary,7.8,298,1h 33m
Apple Cider Vinegar,documentary,6.9,70,1h 20m
The Shards,documentary,7.1,22,1h 30m
A Look Through His Lens,documentary,N/A,N/A,N/A
Mentors - Tony & Santi,documentary,N/A,N/A,N/A
The Extraterrestrial Species Almanac,documentary,7.2,21,1h 40m
Space: The New Frontier,documentary,N/A,N/A,40m
Champions of the Golden Valley,documentary,9.2,81,1h 21m
Operation Arctic Cure,documentary,5.8,56,44m
Janis Ian: Breaking Silence,documentary,7.8,168,1h 54m
Songs of Slow Burning Earth,documentary,7.6,287,1h 35m
Lynden,documentary,9.6,87,1h 13m
Blum - Gospodari svoje buducnosti,documentary,8.9,23,1h 16m
Chris Bumstead's the Raw Story,documentary,5.7,24,1h 57m
Nicola,documentary,N/A,N/A,1h 10m
The Kindness Within: A Journey to Freedom,documentary,6.8,24,1h 30m
Queen Rock Montreal,documentary,8.5,832,1h 35m
Warm Film,documentary,7.0,55,1h 32m
SK13: Kubrick's Endgame,documentary,8.4,44,1h 52m
"Tokito: Kakushin no Ryôri-nin-tachi, 540-nichi no Kiroku",documentary,8.2,17,1h 24m
The Accidental Spy,documentary,8.1,16,1h 37m
The Sidemen Story,documentary,6.7,1700,1h 39m
The Texas Cheerleader Murder Plot,documentary,5.0,312,1h 40m
Children of the Wicker Man,documentary,7.1,37,1h 32m
The Life and Deaths of Christopher Lee,documentary,7.2,514,1h 39m
This Search for Meaning,documentary,8.2,68,1h 35m
Klitschko: More Than a Fight,documentary,6.3,520,1h 36m
Star Trek Voyager: The Definitive History,documentary,N/A,N/A,2h
The Sky Above Zenica,documentary,6.9,149,1h 30m
The Three Michaels,documentary,6.7,33,1h 24m
Billie Eilish: Unfiltered,documentary,3.4,73,45m
Vitalik: An Ethereum Story,documentary,7.6,75,1h 25m
Favoriten,documentary,7.7,274,1h 58m
Israel Palestine on Swedish TV 1958-1989,documentary,7.8,89,3h 20m
Interview with the Extraterrestrial,documentary,5.1,47,1h 30m
A Clockwork Shining: Kubrick's Odyssey 3,documentary,5.9,52,1h 49m
Megan Thee Stallion: In Her Words,documentary,7.4,1800,1h 52m
All the President's Men,documentary,6.4,82,N/A
Dickweed,documentary,6.9,47,1h 30m
Chaplin | Spirit of the Tramp,documentary,7.2,64,1h 30m
Turn in the Wound,documentary,4.3,36,1h 17m
Desire Lines,documentary,6.8,120,1h 21m
Electric Lady Studios: A Jimi Hendrix Vision,documentary,6.7,97,1h 29m
Illusions for Sale: The Rise and Fall of Generation Zoe,documentary,6.2,676,1h 47m
Pistachio Wars,documentary,8.5,12,1h 15m
Eternal You,documentary,6.4,261,1h 27m
Jimmy Carr: Natural Born Killer,documentary,6.7,2700,59m
Desert Angel,documentary,8.8,11,1h 27m
Hawala,documentary,9.6,211,N/A
Sons,documentary,N/A,N/A,1h 9m
"Carville: Winning Is Everything, Stupid",documentary,7.2,283,1h 38m
Blue Road: The Edna O'Brien Story,documentary,8.0,108,1h 39m
America's Burning,documentary,6.0,128,1h 23m
The M Factor: Shredding the Silence on Menopause,documentary,8.6,45,N/A
Screams Before Silence,documentary,6.0,9900,57m
UNEARTH,documentary,9.8,7,1h 33m
Art Spiegelman: Disaster Is My Muse,documentary,8.0,102,1h 38m
I Am Martin Parr,documentary,7.1,150,1h 8m
Pidyomna syla,documentary,8.5,76,1h 27m
S/He Is Still Her/e: The Official Genesis P-Orridge Documentary,documentary,7.7,58,1h 39m
"Hammer: Heroes, Legends and Monsters",documentary,6.6,187,1h 30m
Ain't No Back to a Merry-Go-Round,documentary,7.8,14,1h 29m
Denzel Washington: American Icon,documentary,6.4,61,59m
The Other Side,documentary,5.8,295,1h 37m
Madu,documentary,5.3,274,1h 40m
Golpe de Agua,documentary,N/A,N/A,1h 20m
Youth (Homecoming),documentary,7.4,126,2h 32m
Expedition Amazon,documentary,6.5,169,47m
La revolución de las musas,documentary,6.0,14,1h 10m
Hacking Hate,documentary,5.7,511,1h 26m
New Wave,documentary,8.0,61,1h 28m
The Hobby,documentary,6.2,144,1h 28m
Lawfare: A Totalitarian State,documentary,8.4,49,1h 30m
Suburban Fury,documentary,7.9,18,1h 58m
Housewife of the Year,documentary,7.4,84,1h 21m
Nayanthara: Beyond the Fairy Tale,documentary,3.9,749,1h 21m
Veselka: The Rainbow on the Corner at the Center of the World,documentary,7.0,193,1h 46m
A Want in Her,documentary,7.6,32,1h 22m
Power of the Dream,documentary,6.6,186,2h 13m
Vindicating Trump,documentary,4.1,1700,1h 36m
Missing from Fire Trail Road,documentary,6.9,93,1h 41m
Bogancloch,documentary,7.1,86,1h 25m
Been Here Stay Here,documentary,N/A,N/A,N/A
In Waves and War,documentary,8.5,15,1h 47m
"RM: Right People, Wrong Place",documentary,8.2,447,1h 20m
Old World Order,documentary,7.5,97,1h 30m
Blur: Live at Wembley Stadium,documentary,7.9,111,2h 8m
Ateez World Tour: Towards the Light - Will to Power,documentary,8.9,60,4h 28m
Henry Fonda for President,documentary,7.3,112,3h 4m
Bulletproof: A Lesbian's Guide to Surviving the Plot,documentary,5.7,37,1h 45m
Longevity Hackers,documentary,9.4,15,N/A
IVE: The 1st World Tour in Cinema,documentary,7.4,63,1h 51m
The Falling Sky,documentary,6.4,55,1h 50m
Twisters: The Real Story,documentary,5.3,71,N/A
Michael Jackson: Ungloved,documentary,6.3,29,1h
The Incredibles,documentary,9.3,121,N/A
Fanmade: Enhypen,documentary,7.6,48,1h 21m
The Real Red Tails,documentary,6.9,91,45m
Mogwai: If the Stars Had a Sound,documentary,6.8,169,1h 32m
World Between Us,documentary,6.8,67,1h 30m
Chuck Zito: An American Story,documentary,6.3,13,N/A
The Hobby: Tales from the Tabletop,documentary,8.3,31,1h 32m
Young Royals Forever,documentary,7.7,490,53m
The Run of Your Life,documentary,7.5,116,1h 25m
AI Evolution,documentary,4.3,49,52m
Trans Memoria,documentary,6.5,49,1h 12m
My Stolen Planet,documentary,7.7,152,1h 22m
Resistance: They Fought Back,documentary,7.4,129,1h 40m
Becoming Hitchcock: The Legacy of Blackmail,documentary,7.2,293,1h 12m
A Flash of Beauty: Paranormal Bigfoot,documentary,7.8,62,N/A
Louder: The Soundtrack of Change,documentary,6.2,131,1h 1m
Counted Out,documentary,7.4,13,1h 29m
Gary,documentary,6.6,575,1h 31m
Keanu Reeves: The One and Only,documentary,6.3,123,50m
Leap of Faith,documentary,7.9,30,1h 26m
ADA: My Mother the Architect,documentary,8.2,50,1h 21m
Brendan Gleeson's Farewell to Hughes's,documentary,6.4,32,1h
The Real! ChatGPT: Creator or Terminator?,documentary,3.7,70,N/A
Operation Hope: The Children Lost in the Amazon,documentary,6.8,103,1h 26m
Liefjes,documentary,6.8,40,1h 20m
*smiles and kisses you*,documentary,7.8,16,1h 28m
Coastal,documentary,7.4,119,1h 42m
Fittest on Earth: Final Showdown in Madtown,documentary,6.0,36,N/A
The Belle from Gaza,documentary,5.9,222,1h 16m
A Horse Named Winx,documentary,8.7,104,1h 57m
The Stand,documentary,7.7,18,1h 35m
It's All Gonna Break,documentary,7.5,63,1h 34m
Living with Leopards,documentary,7.4,882,1h 11m
From Island to Island,documentary,8.2,27,4h 50m
Les Survivantes,documentary,8.2,23,1h 53m
Au boulot !,documentary,6.9,124,1h 24m
Tom Papa: Home Free,documentary,6.9,521,1h 2m
XXI A sport named solutions,documentary,N/A,N/A,1h 2m
H2O: The Intelligence of Water,documentary,3.8,13,1h 10m
Can't Feel Nothing,documentary,6.1,194,1h 21m
Patrice: The Movie,documentary,8.3,244,1h 42m
The Trouble with Mr Doodle,documentary,7.5,89,1h 30m
Stronger Than Ever,documentary,8.2,36,1h 11m
