movie_name,genre,rating,vote_count,duration
Seeds,horror,5.0,271,1h 22m
404 Run Run,horror,5.7,541,1h 44m
Room Service,horror,3.9,341,47m
The Monster Beneath Us,horror,5.1,512,1h 43m
Turno Nocturno,horror,5.2,782,1h 47m
Kabir Azabi: Insi ve Cinni,horror,3.8,33,1h 25m
Rippy,horror,4.1,1100,1h 23m
Strange Frequencies: Taiwan Killer Hospital,horror,7.2,76,1h 31m
#AMFAD: All My Friends Are Dead,horror,4.5,1300,1h 31m
Operation Undead,horror,4.7,499,1h 50m
Destroy All Neighbors,horror,5.3,2100,1h 25m
Krazy House,horror,4.8,1600,1h 29m
Demonte Colony 2,horror,6.5,4700,2h 24m
Riders,horror,6.3,556,1h 45m
Skeletons in the Closet,horror,3.0,582,1h 32m
The Devil's Disciples,horror,7.8,54,1h 22m
Do You See What I See,horror,5.4,726,1h 49m
Horror in the High Desert 3: Firewatch,horror,5.4,806,1h 28m
The Banished,horror,5.0,58,1h 37m
The Hunted,horror,5.1,452,1h 34m
Invited,horror,5.2,266,1h 11m
Don't Open the Door,horror,6.6,8400,1h 27m
Desert Fiends,horror,4.5,986,1h 46m
The Ghost,horror,6.3,133,1h 32m
The Waves of Madness,horror,5.2,132,1h 8m
Pechi,horror,5.5,1600,1h 50m
The Blackwell Ghost 8,horror,6.1,437,1h 9m
The McKinney Family Home Videos,horror,4.9,43,1h 8m
Scared to Death,horror,6.6,34,1h 38m
Halloween: Season of the Boogeyman,horror,8.0,29,N/A
Angels Fallen: Warriors of Peace,horror,4.8,6500,1h 43m
You Can't Run Forever,horror,4.5,4500,1h 42m
Murder Mubarak,horror,5.8,51000,2h 20m
The Moogai,horror,5.4,524,1h 26m
Karkhanu,horror,9.1,75,N/A
All Hallows' Eve: Inferno,horror,4.3,143,1h 14m
Sana: Let Me Hear,horror,5.5,90,2h 5m
Akkada Varu Ikkada Unnaru,horror,9.1,1100,1h 43m
El instinto,horror,6.6,128,1h 32m
Thine Ears Shall Bleed,horror,6.2,1200,1h 42m
The Curse of the Necklace,horror,4.5,1500,1h 39m
Asgaar,horror,9.2,43,2h 18m
Succubus,horror,3.5,923,1h 36m
Killer Body Count,horror,4.7,709,1h 49m
Anaconda,horror,4.9,703,1h 24m
Tantra,horror,4.9,2400,2h 16m
Latency,horror,4.2,3000,1h 34m
The Haunted Apartment: Miss K,horror,5.6,555,1h 43m
